animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
fruitbat,True,False,False,True,True,False,False,True,True,True,False,False,2,True,False,False,mammal
goat,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
boar,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
crayfish,False,False,True,False,False,True,True,False,False,False,False,False,6,False,False,False,invertebrate
piranha,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
newt,False,False,True,False,False,True,True,True,True,True,False,False,4,True,False,False,amphibian
termite,False,False,True,False,False,False,False,False,False,True,False,False,6,False,False,False,insect
gull,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,bird
hamster,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,False,mammal
cheetah,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
pussycat,True,False,False,True,False,False,True,True,True,True,False,False,4,True,True,True,mammal
gnat,False,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,insect
dove,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,bird
kiwi,False,True,True,False,False,False,True,False,True,True,False,False,2,True,False,False,bird
mink,True,False,False,True,False,True,True,True,True,True,False,False,4,True,False,True,mammal
frog,False,False,True,False,False,True,True,True,True,True,True,False,4,False,False,False,amphibian
tuatara,False,False,True,False,False,False,True,True,True,True,False,False,4,True,False,False,reptile
octopus,False,False,True,False,False,True,True,False,False,False,False,False,8,False,False,True,invertebrate
opossum,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,False,mammal
antelope,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
girl,True,False,False,True,False,False,True,True,True,True,False,False,2,False,True,True,mammal
wallaby,True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,True,mammal
stingray,False,False,True,False,False,True,True,True,True,False,True,True,0,True,False,True,fish
polecat,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
porpoise,False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,True,mammal
deer,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
swan,False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,True,bird
